=== Blueprint Content Audit Report ===

EP    | Title                          | Scenes     | Scenario Len    | Status
--------------------------------------------------------------------------------
1     | 지옥의 귀환, 망나니의 서막                | 6          | 2374            | OK
2     | 약자의 역설: 독이 든 성배와 광대의 칼         | 6          | 1931            | OK
3     | 제 3화: 절대적 상성 (Absolute Counter | 6          | 2198            | OK
4     | 판도의 전복: 새로운 호랑이의 눈빛            | 6          | 2766            | OK
5     | 첫 번째 도미노                       | 6          | 2566            | OK
6     | 붕괴의 서막                         | 6          | 2054            | OK
7     | 약자의 계책: 홍목 탁자의 춤               | 6          | 2139            | OK
8     | 도미노의 시작: 민심(民心)과 은자(銀子)        | 6          | 2412            | OK
9     | 오만의 서막, 망나니의 가면                | 6          | 2729            | OK
10    | 일백 근 흑산, 판을 뒤흔들다               | 6          | 2403            | OK
11    | 무게의 파동 (The Wave of Weight)    | 6          | 2809            | OK
12    | 검이 가벼우면 사람도 가벼운 법이다            | 6          | 2186            | OK
13    | 금서고의 문, 자격을 증명하라               | 6          | 2948            | OK
14    | [고행의 길] 백호의 살기, 태산의 각오         | 6          | 1939            | OK
15    | 시조의 인정, 그리고 단전의 부활             | 6          | 1666            | OK
16    | 수은처럼 응축된 내공: 무게를 더하는 첫걸음       | 6          | 2489            | OK
17    | 맹주의 시험: 침묵과 도발                 | 6          | 1967            | OK
18    | 제어의 극치(極致)                     | 6          | 2047            | OK
19    | 무게의 증명                         | 6          | 1568            | OK
20    | 새로운 판, 새로운 질서                  | 6          | 2998            | OK
