"작가","작품_before","작품_after","canonical_reason","affected_rows","source_file_count","total_revenue","first_sale_month","last_sale_month"
"예로나","무림드래곤","무림 드래곤","spacing_variant_merged","373","313","14217318","2021-12","2026-01"
"나리타","신부수업을년 동안 받았습니다","신부 수업을년 동안 받았습니다","spacing_variant_merged","200","200","8822453","2023-11","2026-01"
"찬동","회귀한 북부의 전투사령관","회귀한 북부의 전투 사령관","spacing_variant_merged","106","105","1027454","2024-09","2026-01"
"시아","후아유 Who Are You","후아유","english_tail_trimmed","82","57","428150","2021-02","2025-07"
"박희진","남주가 멸망시킬 나라의 왕녀로 환생해버렸다","남주가 멸망시킬 나라의 왕녀로 환생해 버렸다","spacing_variant_merged","76","75","1054757","2024-01","2025-12"
"마니","동천 만물수리점","동천 만물 수리점","spacing_variant_merged","73","73","61259801","2021-02","2025-12"
"백범","졸부집 망나니","졸부 집 망나니","spacing_variant_merged","71","71","4323335","2024-03","2026-01"
"최동환","네멋대로 살아라","네 멋대로 살아라","spacing_variant_merged","53","1","17100","2021-03","2021-03"
"범탈","정자부터 레벨업","정자부터 레벨 업","spacing_variant_merged","49","49","516341","2021-08","2025-12"
"민작가","사이코패스 살인마는 살고싶다","사이코패스 살인마는 살고 싶다","spacing_variant_merged","38","38","177402","2025-05","2025-12"
"하야시","다정한 새장 CASE","다정한 새장CASE","spacing_variant_merged","35","35","227795","2021-04","2025-05"
"령후","결혼적령기","결혼 적령기","spacing_variant_merged","32","32","122864","2021-04","2025-10"
"민작가","보스몹이 너무 강함","보스 몹이 너무 강함","spacing_variant_merged","30","30","421547","2025-05","2025-12"
"summer","라이어뉴테프 이야기","라이어 뉴테프 이야기","spacing_variant_merged","24","24","137719","2021-04","2024-10"
"전혜진","마이웨딩","마이 웨딩","spacing_variant_merged","22","13","58800","2021-03","2025-12"
"미도파","친구엄마와 친구먹기","친구 엄마와 친구 먹기","spacing_variant_merged","20","20","91736410","2024-05","2025-12"
"문지원(마승리)","결혼해줄래","결혼 해줄래","spacing_variant_merged","16","16","32558","2021-03","2025-02"
"StandingA","외계행성의 검은고양이","외계행성의 검은 고양이","spacing_variant_merged","16","16","30325","2021-02","2025-12"
"페로슈","감금당한 남주를 도와줬더니 집착남이되었습니다","감금당한 남주를 도와줬더니 집착남이 되었습니다","spacing_variant_merged","15","15","61560","2024-04","2025-11"
"장소영","어느 전투조종사의 사랑","어느 전투 조종사의 사랑","spacing_variant_merged","12","12","42000","2021-03","2025-08"
"핑캐","황궁의 정원에는 개가 산다 3","황궁의 정원에는 개가 산다","trailing_number_trimmed","11","11","342468","2025-08","2025-12"
"핑캐","황궁의 정원에는 개가 산다 2","황궁의 정원에는 개가 산다","trailing_number_trimmed","11","11","80836","2024-12","2025-08"
"사쿠라 리","슈베어트의 황태자비","슈베어트의 황태자 비","spacing_variant_merged","11","11","30150","2021-02","2025-10"
"유재무","불행을 보는 재벌집손자","불행을 보는 재벌집 손자","spacing_variant_merged","9","9","414096","2025-04","2025-12"
"홍정태","어쌔신나이트","어쌔신 나이트","spacing_variant_merged","7","7","9741","2023-01","2025-05"
"나한","무적군림보","무적 군림보","spacing_variant_merged","7","1","6300","2021-03","2021-03"
"월랑","룬마스터","룬 마스터","spacing_variant_merged","6","1","9000","2021-02","2021-02"
"채지후","우선 남동생부터 숨기자 타파스","우선 남동생부터 숨기자","platform_suffix_trimmed","5","5","2750222","2024-10","2025-10"
"차람","폭군 남편이 어쩐지 조신해졌다 타파스","폭군 남편이 어쩐지 조신해졌다","platform_suffix_trimmed","5","5","305542","2024-10","2025-10"
"성혜림","후원에 핀 제비꽃 타파스","후원에 핀 제비꽃","platform_suffix_trimmed","5","5","303877","2024-10","2025-10"
"인기영","현대귀환 마법사","현대 귀환 마법사","spacing_variant_merged","5","1","12600","2021-03","2021-03"
"강찬","기갑마도사","기갑 마도사","spacing_variant_merged","5","1","5400","2021-03","2021-03"
"하늘곰","마왕으로산다","마왕으로 산다","spacing_variant_merged","4","4","721914","2025-01","2025-10"
"인기영","현대강림 마스터","현대 강림 마스터","spacing_variant_merged","4","1","27300","2021-03","2021-03"
"김동인","운현궁의 봄상","운현궁의 봄 상","spacing_variant_merged","4","4","1456","2022-04","2024-06"
"김동인","운현궁의 봄하","운현궁의 봄 하","spacing_variant_merged","4","4","1456","2022-04","2024-06"
"두나래","쓰리 나이츠 실제로 합니다 타파스","쓰리 나이츠 실제로 합니다","platform_suffix_trimmed","3","3","683922","2025-04","2025-10"
"삼십춘기","역대급 야구천재의 탄생","역대급 야구 천재의 탄생","spacing_variant_merged","3","3","566648","2023-11","2023-12"
"TR","Speak Of he Devil스피크 오브 더 데블 타파스","Speak Of he Devil스피크 오브 더 데블","platform_suffix_trimmed","3","3","327563","2025-04","2025-10"
"봄비봄","사워 캔디Sour Candy 타파스","사워 캔디Sour Candy","platform_suffix_trimmed","3","3","198770","2025-04","2025-10"
"탕쥐","가지하러 오셨어요 타파스","가지하러 오셨어요","platform_suffix_trimmed","3","3","191414","2025-04","2025-10"
"절세초인","무한빙의로 세계최강","무한 빙의로 세계 최강","spacing_variant_merged","3","3","49329","2021-02","2021-04"
"김동인","수양대군상","수양대군 상","spacing_variant_merged","3","3","1050","2021-12","2022-05"
