work_key,title,author,publishers,first_sale_month,active_months,lifetime_net_sales,cum_1m_net_sales,observed_1m,cum_3m_net_sales,observed_3m,cum_6m_net_sales,observed_6m,cum_12m_net_sales,observed_12m,platform_count_12m,top_platform_share_12m
1 프롤로그|||정우식,1 프롤로그,정우식,프로무림,2021-02,15,21394,100,Y,200,Y,600,Y,11600,Y,1,1.0
100층 탈출|||Dreamer 李,100층 탈출,Dreamer 李,프로무림,2021-02,41,279141,11408,Y,17408,Y,34832,Y,82832,Y,5,0.7465
27장 절대무존3|||사마달,27장 절대무존3,사마달,프로무림,2021-02,34,44800,1120,Y,4270,Y,4690,Y,7770,Y,1,1.0
32 중원의 혼2|||서효원,32 중원의 혼2,서효원,프로무림,2021-02,45,207900,7800,Y,10500,Y,17700,Y,30000,Y,2,0.8
"33 깨어진 와우석2|||서효원, 이광주",33 깨어진 와우석2,"서효원, 이광주",프로무림,2021-02,28,75500,2100,Y,8400,Y,11100,Y,22400,Y,2,0.8839
34 이제 장막은 없다2|||서효원,34 이제 장막은 없다2,서효원,프로무림,2021-02,16,29900,1000,Y,1000,Y,1000,Y,3200,Y,1,1.0
36 이제 한은 없다2|||서효원,36 이제 한은 없다2,서효원,프로무림,2021-02,21,53600,100,Y,100,Y,100,Y,100,Y,1,1.0
36 혜성은 돌아오지 않는가4|||서효원,36 혜성은 돌아오지 않는가4,서효원,프로무림,2021-02,39,143500,1800,Y,4500,Y,8100,Y,13600,Y,2,0.8603
63 야망의 종말2|||와룡강,63 야망의 종말2,와룡강,프로무림,2021-02,45,116040,5100,Y,14580,Y,22740,Y,38640,Y,1,1.0
EPL 프리미어 리그|||말리브 해적,EPL 프리미어 리그,말리브 해적,포텐,2021-02,57,930417,42595,Y,57890,Y,129815,Y,279055,Y,7,0.3102
EPL 프리미어 리그|||말리브해적,EPL 프리미어 리그,말리브해적,포텐,2021-02,60,2861246,77714,Y,199581,Y,272211,Y,685040,Y,12,0.3081
EPL 프리미어 리그 완|||말리브 해적,EPL 프리미어 리그 완,말리브 해적,포텐,2021-02,56,3619166,14315,Y,39445,Y,56140,Y,99855,Y,8,0.5783
EX급 전생헌터|||쥬시,EX급 전생헌터,쥬시,포텐,2021-02,59,11268974,340088,Y,5099909,Y,7349901,Y,8092335,Y,6,0.9514
E급부터 시작하는 대마법사|||연암,E급부터 시작하는 대마법사,연암,포텐,2021-02,59,17297571,244797,Y,747224,Y,4041522,Y,6600917,Y,7,0.818
MLB 메이저 리그|||말리브 해적,MLB 메이저 리그,말리브 해적,포텐,2021-02,59,3938129,28770,Y,125630,Y,254570,Y,659320,Y,7,0.2507
MLB 메이저 리그|||말리브의해적,MLB 메이저 리그,말리브의해적,포텐,2021-02,59,6024672,34960,Y,248392,Y,459284,Y,1226232,Y,10,0.3223
MLB 메이저 리그 완|||말리브 해적,MLB 메이저 리그 완,말리브 해적,포텐,2021-02,59,5110807,17500,Y,46335,Y,136775,Y,293495,Y,9,0.4944
S2급 결혼 헌터|||백견(百見),S2급 결혼 헌터,백견(百見),포텐,2021-02,60,1283094,324342,Y,361175,Y,500435,Y,641377,Y,8,0.6441
SSS급 괴물사냥꾼|||북홀릭,SSS급 괴물사냥꾼,북홀릭,포텐,2021-02,58,3767451,5740,Y,24710,Y,66640,Y,104510,Y,3,0.5707
SSS급 천재|||북홀릭,SSS급 천재,북홀릭,포텐,2021-02,60,7272392,166374,Y,567142,Y,1939499,Y,2889951,Y,19,0.1837
SSS급 핵재벌|||부가티베이론,SSS급 핵재벌,부가티베이론,프로무림,2021-02,4,150640,34230,Y,99540,Y,150640,Y,150640,Y,5,0.3755
X시대의 영웅|||이원호,X시대의 영웅,이원호,프로무림,2021-02,31,168900,3000,Y,9000,Y,35900,Y,68900,Y,3,0.508
가인혈사록|||사마달,가인혈사록,사마달,프로무림,2021-02,59,606154,13354,Y,46753,Y,75545,Y,163547,Y,11,0.2812
가장 나쁜 놈|||이원호,가장 나쁜 놈,이원호,프로무림,2021-02,52,271511,3980,Y,21380,Y,42380,Y,60780,Y,1,1.0
가장 존귀한 것|||서효원,가장 존귀한 것,서효원,프로무림,2021-02,33,99600,8400,Y,12900,Y,12900,Y,22600,Y,2,0.9027
가족|||이원호,가족,이원호,프로무림,2021-02,41,411520,12800,Y,42240,Y,61440,Y,128640,Y,3,0.4726
강자|||가람검,강자,가람검,프로무림,2021-02,56,832246,10850,Y,24458,Y,79814,Y,124474,Y,7,0.6428
강호거상|||서효원,강호거상,서효원,프로무림,2021-02,59,1299405,40922,Y,66990,Y,103290,Y,246660,Y,8,0.3369
강호무정|||검궁인,강호무정,검궁인,프로무림,2021-02,57,338151,4704,Y,30593,Y,46527,Y,92757,Y,9,0.2566
갤럭시the Galaxy|||박재학,갤럭시the Galaxy,박재학,프로무림,2021-02,59,3187188,458208,Y,935865,Y,1874362,Y,2359141,Y,8,0.8096
갤럭시the Galaxy 갤럭시 제국|||박재학,갤럭시the Galaxy 갤럭시 제국,박재학,프로무림,2021-02,54,111505,4850,Y,7595,Y,15811,Y,26049,Y,5,0.2795
갤럭시the Galaxy 내전|||박재학,갤럭시the Galaxy 내전,박재학,프로무림,2021-02,57,149025,4850,Y,8765,Y,16162,Y,25630,Y,5,0.2349
갤럭시the Galaxy 라스트 휴먼 네르노바|||박재학,갤럭시the Galaxy 라스트 휴먼 네르노바,박재학,프로무림,2021-02,58,133466,4355,Y,7640,Y,16297,Y,26395,Y,5,0.2758
갤럭시the Galaxy 레볼루션|||박재학,갤럭시the Galaxy 레볼루션,박재학,프로무림,2021-02,41,58347,3860,Y,7370,Y,14191,Y,18637,Y,5,0.2892
갤럭시the Galaxy 마법사|||박재학,갤럭시the Galaxy 마법사,박재학,프로무림,2021-02,45,72546,3860,Y,7730,Y,14110,Y,19627,Y,5,0.2774
갤럭시the Galaxy 변화의 물|||박재학,갤럭시the Galaxy 변화의 물,박재학,프로무림,2021-02,57,137013,4355,Y,6605,Y,17691,Y,28365,Y,5,0.2789
갤럭시the Galaxy 별의 왕|||박재학,갤럭시the Galaxy 별의 왕,박재학,프로무림,2021-02,40,64742,3860,Y,7865,Y,16666,Y,21058,Y,5,0.3056
갤럭시the Galaxy 보이지 않는 적|||박재학,갤럭시the Galaxy 보이지 않는 적,박재학,프로무림,2021-02,57,173607,4850,Y,9755,Y,18412,Y,30130,Y,5,0.2834
갤럭시the Galaxy 산업혁명|||박재학,갤럭시the Galaxy 산업혁명,박재학,프로무림,2021-02,57,189727,4850,Y,10331,Y,20743,Y,32974,Y,5,0.2781
갤럭시the Galaxy 새로운 적|||박재학,갤럭시the Galaxy 새로운 적,박재학,프로무림,2021-02,54,146572,4095,Y,12456,Y,25847,Y,38128,Y,5,0.3231
갤럭시the Galaxy 세계대전|||박재학,갤럭시the Galaxy 세계대전,박재학,프로무림,2021-02,57,550663,4850,Y,8855,Y,26871,Y,57399,Y,6,0.5378
갤럭시the Galaxy 시간의 지배자|||박재학,갤럭시the Galaxy 시간의 지배자,박재학,프로무림,2021-02,42,58456,3860,Y,6110,Y,13561,Y,17377,Y,5,0.2564
갤럭시the Galaxy 신세계|||박재학,갤럭시the Galaxy 신세계,박재학,프로무림,2021-02,48,78806,3860,Y,6245,Y,14551,Y,20068,Y,5,0.2713
갤럭시the Galaxy 신흥 재벌|||박재학,갤럭시the Galaxy 신흥 재벌,박재학,프로무림,2021-02,44,73847,3860,Y,7235,Y,16036,Y,21058,Y,5,0.3056
갤럭시the Galaxy 영지 전쟁|||박재학,갤럭시the Galaxy 영지 전쟁,박재학,프로무림,2021-02,55,126361,4095,Y,11826,Y,28057,Y,38578,Y,5,0.2638
갤럭시the Galaxy 은하여행|||박재학,갤럭시the Galaxy 은하여행,박재학,프로무림,2021-02,56,995243,18904,Y,19060,Y,84573,Y,123388,Y,2,0.7192
갤럭시the Galaxy 초능력자|||박재학,갤럭시the Galaxy 초능력자,박재학,프로무림,2021-02,43,72326,3860,Y,7595,Y,13975,Y,18862,Y,5,0.3149
갤럭시the Galaxy 추적|||박재학,갤럭시the Galaxy 추적,박재학,프로무림,2021-02,57,322046,7065,Y,18296,Y,95828,Y,173699,Y,5,0.7894
갤럭시the Galaxy 카오스|||박재학,갤럭시the Galaxy 카오스,박재학,프로무림,2021-02,38,51636,3860,Y,6245,Y,13696,Y,17071,Y,5,0.2788
갤럭시the Galaxy 코르모토 행성의 이방인|||박재학,갤럭시the Galaxy 코르모토 행성의 이방인,박재학,프로무림,2021-02,59,7088961,4355,Y,8225,Y,15811,Y,998704,Y,6,0.9737
갤럭시the Galaxy 휴먼|||박재학,갤럭시the Galaxy 휴먼,박재학,프로무림,2021-02,38,54587,3860,Y,5615,Y,13066,Y,16882,Y,5,0.2446
갤럭시the Galaxy 휴먼 탑|||박재학,갤럭시the Galaxy 휴먼 탑,박재학,프로무림,2021-02,57,213673,4850,Y,11951,Y,31188,Y,44049,Y,5,0.3658
건곤만리|||검궁인,건곤만리,검궁인,프로무림,2021-02,59,552928,16377,Y,41700,Y,106426,Y,171627,Y,9,0.3186
건곤일척|||검궁인,건곤일척,검궁인,프로무림,2021-02,60,609842,8159,Y,26774,Y,82904,Y,137728,Y,10,0.375
건곤쟁패|||가람검,건곤쟁패,가람검,프로무림,2021-02,11,35991,2240,Y,6398,Y,6398,Y,11438,Y,4,0.4406
건국기|||김현,건국기,김현,포텐,2021-02,43,135451,5250,Y,12691,Y,25431,Y,44351,Y,6,0.7481
검|||천중행,검,천중행,프로무림,2021-02,59,666965,15359,Y,32697,Y,78240,Y,150195,Y,9,0.29
검공비사|||김영목,검공비사,김영목,프로무림,2021-02,46,196157,5670,Y,9000,Y,28201,Y,37651,Y,6,0.4146
검루|||사마달,검루,사마달,프로무림,2021-02,59,499408,15489,Y,30908,Y,76081,Y,142062,Y,9,0.2528
검명도살|||몽월,검명도살,몽월,프로무림,2021-02,46,668862,4500,Y,9000,Y,92300,Y,387500,Y,4,0.9332
검무흔|||천중행,검무흔,천중행,프로무림,2021-02,59,582908,15997,Y,34951,Y,82362,Y,176534,Y,5,0.6011
검신|||청산,검신,청산,프로무림,2021-02,59,6125324,109991,Y,255315,Y,586014,Y,1212377,Y,12,0.6204
검웅영제|||천중행,검웅영제,천중행,프로무림,2021-02,60,672591,8750,Y,26290,Y,69410,Y,152430,Y,4,0.327
"검정대륙행|||사마달, 백창렬",검정대륙행,"사마달, 백창렬",프로무림,2021-02,59,1262345,19155,Y,114234,Y,228524,Y,381860,Y,11,0.211
검중검|||검궁인,검중검,검궁인,프로무림,2021-02,59,651699,15987,Y,38381,Y,96725,Y,158165,Y,9,0.265
검풍연가|||사마달,검풍연가,사마달,프로무림,2021-02,59,1251058,13237,Y,90383,Y,214260,Y,364518,Y,12,0.1838
검한몽|||천중행,검한몽,천중행,프로무림,2021-02,58,391426,3780,Y,9217,Y,18351,Y,40730,Y,5,0.4829
검향도살|||청산,검향도살,청산,프로무림,2021-02,59,1433152,6709,Y,74584,Y,179807,Y,377167,Y,7,0.495
검호|||홍파,검호,홍파,프로무림,2021-02,51,197007,14360,Y,20580,Y,26779,Y,45988,Y,7,0.2525
검혼무|||설풍,검혼무,설풍,프로무림,2021-02,51,133774,6662,Y,11213,Y,25857,Y,41953,Y,5,0.5621
겁|||강태산,겁,강태산,프로무림,2021-02,50,142388,915,Y,16074,Y,27303,Y,49308,Y,11,0.2129
게더링|||박제후,게더링,박제후,프로무림,2021-02,15,31110,6000,Y,10500,Y,17000,Y,23000,Y,9,0.2609
계|||김능하,계,김능하,프로무림,2021-02,47,160398,7585,Y,11650,Y,30257,Y,42343,Y,5,0.4995
계약이 되었습니다|||김영훈,계약이 되었습니다,김영훈,포텐,2021-02,57,310088,24809,Y,52874,Y,65096,Y,124032,Y,12,0.3798
고검광무|||홍파,고검광무,홍파,프로무림,2021-02,54,232978,5485,Y,21929,Y,32553,Y,52992,Y,9,0.3699
고검낙화|||홍파,고검낙화,홍파,프로무림,2021-02,41,81280,6784,Y,12150,Y,17285,Y,23124,Y,5,0.5009
고검명|||홍파,고검명,홍파,프로무림,2021-02,55,238568,9171,Y,21366,Y,51793,Y,68337,Y,7,0.3767
고검풍운|||홍파,고검풍운,홍파,프로무림,2021-02,50,143632,3060,Y,17654,Y,21616,Y,35387,Y,7,0.3561
고구려 르네상스|||Lucubro,고구려 르네상스,Lucubro,포텐,2021-02,59,14333266,57548,Y,574134,Y,1138781,Y,1689331,Y,4,0.5397
고독천년|||와룡강,고독천년,와룡강,프로무림,2021-02,60,36551741,589143,Y,1622874,Y,3692849,Y,7758582,Y,13,0.2489
고독천년 미|||와룡강,고독천년 미,와룡강,프로무림,2021-02,11,322550,22050,Y,22050,Y,22050,Y,69300,Y,1,1.0
고독천년 제58장 다시 암자에서|||와룡강,고독천년 제58장 다시 암자에서,와룡강,프로무림,2021-02,51,685810,8260,Y,31150,Y,64310,Y,181810,Y,1,1.0
고혼혈루|||홍파,고혼혈루,홍파,프로무림,2021-02,53,137689,5064,Y,9752,Y,17541,Y,29881,Y,7,0.4318
곤륜마협|||글별자리,곤륜마협,글별자리,포텐,2021-02,59,499478440,9260725,Y,26843292,Y,52906064,Y,118447939,Y,1,1.0
골든 카이저|||진현,골든 카이저,진현,프로무림,2021-02,59,1569900,110820,Y,230764,Y,394967,Y,650271,Y,10,0.5586
공갈|||이원호,공갈,이원호,프로무림,2021-02,59,3464906,61300,Y,218500,Y,463100,Y,771000,Y,8,0.561
공감의 요리사|||진시월,공감의 요리사,진시월,포텐,2021-02,48,376070,21840,Y,32600,Y,134819,Y,197539,Y,7,0.3991
공공도수|||청산,공공도수,청산,프로무림,2021-02,56,466861,9475,Y,23981,Y,44665,Y,87610,Y,7,0.3156
공작풍|||사마달,공작풍,사마달,프로무림,2021-02,58,473261,11564,Y,30859,Y,66548,Y,119037,Y,11,0.2805
광|||강태산,광,강태산,프로무림,2021-02,53,186646,2396,Y,11450,Y,33287,Y,57388,Y,8,0.2232
"광란총서|||고월, 서희원",광란총서,"고월, 서희원",프로무림,2021-02,60,895312,6095,Y,29863,Y,78115,Y,176921,Y,8,0.3162
광마|||강태산,광마,강태산,프로무림,2021-02,46,106042,4084,Y,7394,Y,15336,Y,23761,Y,8,0.2991
광무록|||검궁인,광무록,검궁인,프로무림,2021-02,57,550078,24716,Y,44468,Y,77179,Y,174777,Y,11,0.2403
광속의 마도사|||김영목,광속의 마도사,김영목,프로무림,2021-02,28,78292,2268,Y,6916,Y,14260,Y,24667,Y,4,0.6501
광풍가|||나한,광풍가,나한,프로무림,2021-02,59,3858716,49770,Y,268283,Y,555535,Y,1176308,Y,8,0.3409
광풍겁|||검궁인,광풍겁,검궁인,프로무림,2021-02,59,200019,3869,Y,13078,Y,31341,Y,55566,Y,7,0.2927
광풍무|||나한,광풍무,나한,프로무림,2021-02,58,3650798,58987,Y,288702,Y,579513,Y,1239326,Y,9,0.2693
광풍서생|||서효원,광풍서생,서효원,프로무림,2021-02,58,920647,11980,Y,29980,Y,96580,Y,287285,Y,9,0.41
광풍의 전사|||비류수,광풍의 전사,비류수,프로무림,2021-02,57,717932,19900,Y,41500,Y,78500,Y,160300,Y,6,0.65
광혈사혼무|||설풍,광혈사혼무,설풍,프로무림,2021-02,43,110522,2034,Y,4781,Y,10536,Y,20473,Y,6,0.385
광화사|||검궁인,광화사,검궁인,프로무림,2021-02,59,496931,5880,Y,16058,Y,51227,Y,99488,Y,9,0.291
구대마왕|||몽월,구대마왕,몽월,프로무림,2021-02,56,9748687,15300,Y,17200,Y,2172200,Y,3656900,Y,4,0.9564
구룡겁|||천중행,구룡겁,천중행,프로무림,2021-02,59,614438,6300,Y,26121,Y,55862,Y,116127,Y,7,0.3472
구월뇌우|||서효원,구월뇌우,서효원,프로무림,2021-02,59,1048913,18964,Y,60364,Y,83764,Y,190871,Y,8,0.3071
구인회 전편|||검궁인,구인회 전편,검궁인,프로무림,2021-02,41,62408,220,Y,2656,Y,9446,Y,19833,Y,4,0.5754
구인회 후편|||검궁인,구인회 후편,검궁인,프로무림,2021-02,25,49458,70,Y,700,Y,7371,Y,10171,Y,4,0.4129
구자패왕|||와룡강,구자패왕,와룡강,프로무림,2021-02,60,14356737,241814,Y,714838,Y,1599842,Y,3539396,Y,14,0.3312
구주강호|||검궁인,구주강호,검궁인,프로무림,2021-02,59,1080320,19264,Y,61793,Y,130383,Y,281816,Y,10,0.3428
구천검마왕|||서효원,구천검마왕,서효원,프로무림,2021-02,59,827582,36814,Y,44014,Y,70714,Y,174870,Y,12,0.2946
구천독혼마|||서효원,구천독혼마,서효원,프로무림,2021-02,59,1200240,36308,Y,54832,Y,107332,Y,200847,Y,11,0.2001
구천마신|||윤신현,구천마신,윤신현,포텐,2021-02,60,35767028,1620133,Y,3357425,Y,5796523,Y,12207547,Y,21,0.2233
"구천십지제일신마|||사마달, 고월",구천십지제일신마,"사마달, 고월",프로무림,2021-02,59,4795839,79879,Y,213107,Y,560846,Y,1129324,Y,10,0.2574
구천혈사|||청운하,구천혈사,청운하,프로무림,2021-02,48,135145,1120,Y,4138,Y,8976,Y,30599,Y,8,0.1853
국민배우 정도현|||범탈,국민배우 정도현,범탈,포텐,2021-02,60,5622173,88660,Y,149810,Y,262120,Y,459679,Y,17,0.3189
국세청 망나니|||동면거북이,국세청 망나니,동면거북이,포텐,2021-02,60,1078840581,20583309,Y,47170783,Y,117601149,Y,236776804,Y,2,1.0
군|||천중행,군,천중행,프로무림,2021-02,59,627187,11324,Y,37609,Y,66181,Y,135090,Y,9,0.5073
군림몽|||와룡강,군림몽,와룡강,프로무림,2021-02,60,9868762,200402,Y,528152,Y,1074079,Y,2267778,Y,12,0.2883
군마지존도|||서효원,군마지존도,서효원,프로무림,2021-02,58,572530,17663,Y,54863,Y,69563,Y,115553,Y,6,0.6153
군신|||강태산,군신,강태산,프로무림,2021-02,59,585690,8912,Y,24950,Y,54190,Y,102318,Y,10,0.2463
군신 체이슨|||김하준,군신 체이슨,김하준,프로무림,2021-02,24,259812,25447,Y,65511,Y,116677,Y,207338,Y,8,0.625
군왕성|||서효원,군왕성,서효원,프로무림,2021-02,59,899346,19329,Y,36429,Y,77129,Y,226925,Y,10,0.4514
권왕무적|||초우,권왕무적,초우,프로무림,2021-02,53,47334910,1233117,Y,3049711,Y,11752075,Y,19883257,Y,10,0.4944
귀검행|||서효원,귀검행,서효원,프로무림,2021-02,55,475307,802,Y,4402,Y,50302,Y,98834,Y,6,0.5191
귀환병 이야기|||이수영,귀환병 이야기,이수영,프로무림,2021-02,34,321691,5880,Y,7644,Y,22344,Y,35672,Y,2,0.6044
귀환한 절대자는 역대급 헌터|||김현각,귀환한 절대자는 역대급 헌터,김현각,포텐,2021-02,60,44859037,1155891,Y,7292838,Y,11389136,Y,15502454,Y,16,0.5525
규한록|||홍파,규한록,홍파,프로무림,2021-02,54,228790,850,Y,21479,Y,37428,Y,50376,Y,7,0.3891
그랜드 크로스|||나한,그랜드 크로스,나한,프로무림,2021-02,54,1805294,140257,Y,390903,Y,912525,Y,1134336,Y,10,0.475
그랜져|||홍정태,그랜져,홍정태,프로무림,2021-02,55,283635,1260,Y,12048,Y,15268,Y,31667,Y,4,0.6751
그림자|||이원호,그림자,이원호,프로무림,2021-02,58,1557754,32900,Y,99600,Y,234250,Y,376160,Y,7,0.6779
그림자 무사|||별도,그림자 무사,별도,프로무림,2021-02,42,325308,13750,Y,21032,Y,38252,Y,77608,Y,4,0.7468
금수저 생활백서|||강동호,금수저 생활백서,강동호,포텐,2021-02,60,725706784,33890296,Y,96449333,Y,210652798,Y,381395200,Y,19,0.3178
금포염왕|||와룡강,금포염왕,와룡강,프로무림,2021-02,58,2144108,57493,Y,118312,Y,203693,Y,425268,Y,10,0.2638
금황|||선우궁,금황,선우궁,프로무림,2021-02,56,170383,1130,Y,11107,Y,27072,Y,44132,Y,5,0.6011
기개남아|||강태산,기개남아,강태산,프로무림,2021-02,53,298600,775,Y,15353,Y,30812,Y,106895,Y,5,0.7465
기개천하|||몽류몽,기개천하,몽류몽,프로무림,2021-02,33,44579,343,Y,5538,Y,7099,Y,18277,Y,6,0.3447
기검광혈무|||사마달,기검광혈무,사마달,프로무림,2021-02,60,671112,19733,Y,61413,Y,126994,Y,199983,Y,8,0.3235
기사들의 왕|||현자림,기사들의 왕,현자림,프로무림,2021-02,19,20775,2031,Y,2031,Y,5227,Y,6589,Y,3,0.5206
기사학교의 검술천재|||비비다,기사학교의 검술천재,비비다,포텐,2021-02,59,55218204,168266,Y,13017038,Y,21857276,Y,33246555,Y,2,0.9786
기인천년|||와룡강,기인천년,와룡강,프로무림,2021-02,59,20072788,84700,Y,525400,Y,1333680,Y,1741244,Y,4,0.3582
기인총사|||검궁인,기인총사,검궁인,프로무림,2021-02,59,621022,12895,Y,54867,Y,110382,Y,190427,Y,10,0.2955
기적의 사나이|||박재학,기적의 사나이,박재학,프로무림,2021-02,59,2907539,61925,Y,186034,Y,400577,Y,751005,Y,8,0.6315
기협만리|||검궁인,기협만리,검궁인,프로무림,2021-02,56,265498,3486,Y,7995,Y,28737,Y,73636,Y,8,0.3192
나 혼자 먼치킨|||절세초인,나 혼자 먼치킨,절세초인,프로무림,2021-02,3,32480,2240,Y,32480,Y,32480,Y,32480,Y,4,0.4138
나 혼자 무한전생|||절세초인,나 혼자 무한전생,절세초인,프로무림,2021-02,2,51476,30616,Y,51476,Y,51476,Y,51476,Y,4,0.7688
나 혼자만 먼치킨|||절세초인,나 혼자만 먼치킨,절세초인,프로무림,2021-02,3,26580,6111,Y,26580,Y,26580,Y,26580,Y,5,0.4424
