<!-- [참고자료] -->
Topic: codebase-global-cleanroom-source-only
Date: 2026-03-15
Metric: approximate source lines, active-source sweep only
Note: vendor or bundled support files are listed for visibility but may be excluded from action priority

19306 geuldobi-desktop/src/splash/lucide.js
 5007 modules/core/stage4_interview_round.py
 4661 main_a.py
 3680 modules/core/db_manager.py
 2769 tests/test_stage4_interview_round.py
 2690 modules/core/stage4_context_builder.py
 2398 tests/test_pass_with_fix.py
 2204 modules/domain/agents/state_tracker_npc.py
 2141 modules/domain/agents/base_agent.py
 2130 modules/domain/agents/four_phase_arc_generator.py
 2099 scripts/investment_corpus_support.py
 2082 modules/core/stage3_orchestrator.py
 1891 modules/domain/agents/chief_writer.py
 1847 modules/domain/agents/analyst.py
 1775 modules/core/stage2_finalizer.py
 1763 modules/api/bridge_server.py
 1703 modules/core/failure_analyzer.py
 1669 modules/core/stage4_orchestrator.py
 1668 modules/domain/agents/state_tracker.py
 1663 modules/core/stage2_preflight.py
 1655 modules/validation/validation_orchestrator.py
 1439 modules/domain/agents/director_ensemble.py
 1426 modules/core/stage4_post_processor.py
 1407 scripts/tr_batch_harness.py
 1359 tests/test_chief_writer.py
 1348 modules/domain/agents/chief_writer_context.py
 1331 modules/core/vec_memory.py
 1295 scripts/build_fallen_prince_buys_joseon_assets.py
 1289 modules/domain/agents/chief_writer_quality.py
 1280 tests/test_director_modules.py
