작품,작가,출판사,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,총합
전생검신,구로수번,포텐,0.0,0.0,0.0,0.0,12908878.0,12659186.0,37110440.0,33567247.0,38320472.0,41944076.0,31496242.0,31867731.0,42754681.0,35480927.0,34352948.0,31833354.0,30995001.0,40114002.0,45861584.0,31101247.0,26024338.0,34393391.0,37300403.0,48670361.0,43093698.0,37295026.0,34738849.0,29431286.0,26903910.0,26269376.0,29884907.0,27741749.0,25171555.0,23288405.0,23108855.0,25407879.0,26676444.0,24401230.0,22576912.0,22878272.0,24860648.0,22820030.0,24117259.0,23611454.0,21755641.0,20416901.0,21590149.0,19533315.0,20118963.0,15634182.0,16852343.0,17679616.0,17542646.0,18027425.0,18508878.0,16848781.0,16046992.0,15860824.0,19908197.0,15118516.0,1514477622.0
핵무기도 만들어 드릴까요,북홀릭,포텐,47139886.0,33830042.0,36776111.0,51249064.0,57059499.0,78215203.0,65614315.0,42126079.0,40215228.0,25734685.0,16156329.0,49567005.0,17904264.0,14951303.0,32841419.0,18707942.0,23259461.0,14566526.0,9103408.0,27588783.0,9854146.0,9839774.0,10318029.0,7961344.0,5733082.0,5156618.0,4365220.0,4385214.0,4160542.0,6484274.0,6241059.0,5227801.0,3732720.0,6293917.0,4652096.0,4218245.0,3515243.0,6087548.0,4952377.0,3348007.0,4092525.0,4710524.0,3130700.0,3677426.0,2765423.0,4031676.0,14300830.0,10577059.0,6970815.0,5274306.0,5975929.0,3428932.0,7189129.0,9032755.0,4646654.0,3250020.0,3265681.0,3806528.0,3114395.0,2034166.0,924409281.0
대기업 말단이 일을 잘함,동면거북이,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2660.0,14590431.0,30548970.0,20054327.0,11448647.0,27934228.0,27769390.0,16829689.0,14519621.0,32351933.0,34253186.0,14991542.0,110850276.0,57935723.0,28378407.0,20090956.0,16392686.0,27328801.0,16972026.0,17211558.0,44574152.0,48792252.0,36419099.0,28379783.0,24510921.0,29446387.0,21136465.0,30186868.0,24423851.0,14769197.0,18801442.0,861895474.0
금수저 생활백서,강동호,포텐,40407093.0,33890296.0,30758576.0,31800461.0,36439653.0,28566537.0,49197275.0,35849060.0,25063870.0,35670789.0,21723309.0,29219818.0,23215556.0,25495018.0,22980541.0,19380891.0,20088186.0,17732042.0,8522828.0,8577291.0,5955700.0,5186707.0,5558292.0,3470696.0,3386672.0,3769860.0,4469882.0,3317514.0,3002578.0,7233425.0,12961463.0,3664497.0,4053991.0,4815562.0,5806234.0,4378659.0,5028888.0,5388909.0,5541327.0,4536865.0,8286686.0,8011649.0,8133423.0,8836133.0,13079225.0,10002079.0,6271346.0,8053342.0,5837544.0,4484712.0,4117878.0,5820355.0,7123081.0,4646643.0,4286463.0,3621262.0,2801546.0,2051781.0,1852014.0,2534442.0,765958415.0
전설급 영웅은 아카데미 우등생,예로나,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44698045.0,24711138.0,12796221.0,17345225.0,10719190.0,30390219.0,14533981.0,16612681.0,15271378.0,10138407.0,19627997.0,21885066.0,14901576.0,26450415.0,23820883.0,13201718.0,9303444.0,9041758.0,20898849.0,9725801.0,31359910.0,18586590.0,13214502.0,15700255.0,11560351.0,8509950.0,9558379.0,13331920.0,7131663.0,8973679.0,21653911.0,9160975.0,7462861.0,8358523.0,11470937.0,41262551.0,17721474.0,22541486.0,11970021.0,12289554.0,10163871.0,10445010.0,9827972.0,6860678.0,10489207.0,5557725.0,5802985.0,727040932.0
국세청 망나니,동면거북이,포텐,17726255.0,20583309.0,17009461.0,9578013.0,23199069.0,26875445.0,20355852.0,17742162.0,14960322.0,13544981.0,13826344.0,10161960.0,48932314.0,36937079.0,17397926.0,10614464.0,19974983.0,16869708.0,12235566.0,9144115.0,7965489.0,13935303.0,5448408.0,3752311.0,4188232.0,5641459.0,3793793.0,6574598.0,4293255.0,4509273.0,5230240.0,6214495.0,4279552.0,4260482.0,3737132.0,5870095.0,4058085.0,3195521.0,1364650.0,2130919.0,1045678.0,813575.0,6831546.0,6872524.0,4331249.0,2591289.0,2766075.0,1787821.0,2400247.0,1861028.0,4328509.0,7809334.0,3362384.0,2516609.0,2865278.0,4359069.0,2008388.0,1560141.0,1081473.0,1263862.0,540568699.0
풀백이 축구를 너무 잘함,김군0619,포텐,13291819.0,16223507.0,13373332.0,9921886.0,20978263.0,18997085.0,18112334.0,17963514.0,15291899.0,15240289.0,17667923.0,16982833.0,18431698.0,13746747.0,19793374.0,16518938.0,10639211.0,11203898.0,11364952.0,11422974.0,10502432.0,10944692.0,10618764.0,12282640.0,8845968.0,6850831.0,6731030.0,7548407.0,6180091.0,5619749.0,4196448.0,6637863.0,8387337.0,10351865.0,6383551.0,5443713.0,4913667.0,5053005.0,4064214.0,2685173.0,2397763.0,2669937.0,1802665.0,3761451.0,1717149.0,2269554.0,1790505.0,1511040.0,1500260.0,1475947.0,1231438.0,1388151.0,2845871.0,2410430.0,1768973.0,1809562.0,1299439.0,1190986.0,832012.0,738194.0,487819243.0
곤륜마협,글별자리,포텐,10550653.0,9260725.0,8771110.0,8811457.0,7526758.0,7728888.0,10807126.0,9624073.0,9627480.0,13189592.0,5919464.0,19441496.0,7739770.0,9759197.0,4453335.0,4178325.0,6295369.0,8013647.0,8085470.0,3824225.0,18778994.0,6789690.0,7251958.0,7424729.0,10505506.0,7390298.0,18608041.0,13793036.0,10869634.0,10437400.0,9617989.0,6532133.0,5197455.0,4341949.0,12463912.0,5080352.0,23591964.0,14213059.0,12909363.0,6087639.0,13775431.0,8003998.0,5292797.0,4185315.0,4289956.0,3122316.0,1980729.0,2293172.0,6524285.0,3341822.0,2623612.0,2218299.0,2274954.0,1998546.0,2270689.0,1795705.0,1877558.0,2290259.0,1696668.0,2148425.0,459497797.0
파공검제,눈매,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5036940.0,21625072.0,8156577.0,6305076.0,8684209.0,10788321.0,30055485.0,15675535.0,16014968.0,23507279.0,22697758.0,11364247.0,15457834.0,12094067.0,13369537.0,19164859.0,10430181.0,8007399.0,21146675.0,8421884.0,11273199.0,6575367.0,7168423.0,6324724.0,6324348.0,5660118.0,8251044.0,5594334.0,7802417.0,9746907.0,9284806.0,6178150.0,3646367.0,2977518.0,5033717.0,14379890.0,9132535.0,7913033.0,5804323.0,3374490.0,3650523.0,3691893.0,15912789.0,453704818.0
독식하는 재벌 3세,서오,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27232644.0,52257877.0,17175503.0,11744260.0,26010141.0,12677097.0,11025241.0,12415833.0,8465374.0,7700791.0,12855458.0,7265947.0,7346783.0,5433510.0,7511509.0,4971173.0,7665363.0,10694116.0,6020851.0,5292244.0,2628371.0,3086287.0,1625783.0,1485420.0,1398090.0,9985255.0,18532267.0,5450866.0,11641006.0,4874956.0,3434431.0,325904447.0
