작품,작가,출판사,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,총합
핵무기도 만들어 드릴까요,북홀릭,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8921511.0,21069520.0,36029062.0,47139886.0,33830042.0,36776111.0,51249064.0,57059499.0,78215203.0,65614315.0,42126079.0,40215228.0,25734685.0,16156329.0,49567005.0,17904264.0,14951303.0,32841419.0,18707942.0,23259461.0,14566526.0,9103408.0,27588783.0,9854146.0,9839774.0,10469472.0,8017344.0,5779366.0,5161868.0,4387153.0,4397716.0,4185476.0,6508341.0,6273648.0,5260197.0,3761864.0,6307004.0,4664206.0,4232356.0,3522393.0,6098328.0,4989451.0,3352382.0,4105534.0,4721164.0,3139912.0,3691882.0,2782094.0,4049676.0,14324691.0,10612648.0,6976510.0,5282495.0,6049384.0,3442914.0,7204523.0,9037265.0,4665537.0,3253800.0,3270931.0,3822056.0,3116145.0,2043616.0,991281907.0
금수저 생활백서,강동호,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16943298.0,16609421.0,30460958.0,22202843.0,22038093.0,40407093.0,33890296.0,30758576.0,31800461.0,36439653.0,28566537.0,49197275.0,35849060.0,25063870.0,35670789.0,21723309.0,29219818.0,23215556.0,25495018.0,22980541.0,19380891.0,20088186.0,17732042.0,8522828.0,8577291.0,5955700.0,5186707.0,5558292.0,3470696.0,3386672.0,3769860.0,4469882.0,3317514.0,3002578.0,7233425.0,12961463.0,3664497.0,4053991.0,4815562.0,5806234.0,4378659.0,5028888.0,5388909.0,5541327.0,4536865.0,8286686.0,8011649.0,8133423.0,8836133.0,13079225.0,10002079.0,6271346.0,8053342.0,5837544.0,4484712.0,4117878.0,5820355.0,7123081.0,4646643.0,4286463.0,3621262.0,2801546.0,2051781.0,1852014.0,2534442.0,874213028.0
대기업 말단이 일을 잘함,동면거북이,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2660.0,14590431.0,30548970.0,20054327.0,11448647.0,27934228.0,27769390.0,16829689.0,14519621.0,32351933.0,34253186.0,14991542.0,110850276.0,57935723.0,28378407.0,20090956.0,16392686.0,27328801.0,16972026.0,17211558.0,44574152.0,48792252.0,36419099.0,28379783.0,24510921.0,29446387.0,21136465.0,30186868.0,24423851.0,14769197.0,18801442.0,861895474.0
전설급 영웅은 아카데미 우등생,예로나,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44698045.0,24711138.0,12796221.0,17345225.0,10719190.0,30390219.0,14533981.0,16612681.0,15271378.0,10138407.0,19627997.0,21885066.0,14901576.0,26450415.0,23820883.0,13201718.0,9303444.0,9041758.0,20898849.0,9725801.0,31359910.0,18586590.0,13214502.0,15700255.0,13015916.0,8509950.0,9558379.0,13331920.0,7131663.0,8973679.0,21653911.0,9160975.0,7462861.0,8358523.0,11470937.0,41996490.0,17721474.0,22541486.0,11970021.0,12289554.0,10163871.0,10445010.0,9827972.0,6860678.0,10489207.0,5557725.0,5802985.0,729230436.0
국세청 망나니,동면거북이,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41825254.0,23960418.0,16887472.0,17271442.0,21770904.0,17726255.0,20583309.0,17009461.0,9578013.0,23199069.0,26875445.0,20355852.0,17742162.0,14960322.0,13544981.0,13826344.0,10161960.0,48932314.0,36937079.0,17397926.0,10614464.0,19974983.0,16869708.0,12235566.0,9144115.0,7965489.0,13935303.0,5448408.0,3752311.0,4188232.0,5641459.0,3793793.0,6574598.0,4293255.0,4509273.0,5230240.0,6214495.0,4279552.0,4260482.0,3737132.0,5870095.0,4058085.0,3195521.0,1364650.0,2130919.0,1045678.0,813575.0,6831546.0,6872524.0,4331249.0,2591289.0,2766075.0,1787821.0,2400247.0,1861028.0,4328509.0,7809334.0,3362384.0,2516609.0,2865278.0,4359069.0,7533491.0,5449529.0,2431027.0,3596858.0,675381230.0
곤륜마협,글별자리,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340326.0,22525506.0,39466120.0,30985219.0,18021530.0,17367890.0,10052630.0,14974435.0,8548743.0,13374630.0,10550653.0,9260725.0,8771110.0,8811457.0,7526758.0,7728888.0,10807126.0,9624073.0,9627480.0,13189592.0,5919464.0,19441496.0,7739770.0,9759197.0,4453335.0,4178325.0,6295369.0,8013647.0,8085470.0,3824225.0,18778994.0,6789690.0,7251958.0,7424729.0,10505506.0,7390298.0,18608041.0,13793036.0,10869634.0,10437400.0,9617989.0,6532133.0,5197455.0,4341949.0,12463912.0,5080352.0,23591964.0,14213059.0,12909363.0,6087639.0,13775431.0,8003998.0,5292797.0,4185315.0,4289956.0,3122316.0,1980729.0,2293172.0,6524285.0,3341822.0,2623612.0,2218299.0,2274954.0,1998546.0,2270689.0,1795705.0,1877558.0,2290259.0,1696668.0,2148425.0,635154826.0
풀백이 축구를 너무 잘함,김군0619,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,0.0,0.0,9092297.0,13467909.0,9693759.0,9257908.0,13291819.0,16223507.0,13373332.0,9921886.0,20978263.0,18997085.0,18112334.0,17963514.0,15291899.0,15240289.0,17667923.0,16982833.0,18431698.0,13746747.0,19793374.0,16518938.0,10639211.0,11203898.0,11364952.0,11422974.0,10502432.0,10944692.0,10618764.0,12282640.0,8845968.0,6850831.0,6731030.0,7548407.0,6180091.0,5619749.0,4196448.0,6637863.0,8387337.0,10351865.0,6383551.0,5443713.0,4913667.0,5053005.0,4064214.0,2685173.0,2397763.0,2669937.0,1802665.0,3761451.0,1717149.0,2269554.0,1790505.0,1511040.0,1500260.0,1475947.0,1231438.0,1388151.0,2845871.0,2410430.0,1768973.0,1809562.0,1299439.0,1190986.0,832012.0,738194.0,529333816.0
레벨 업 하는 식당,인기영,포텐,0.0,18924570.0,16927806.0,48707472.0,30924118.0,13166979.0,41903097.0,29987323.0,18219354.0,17561331.0,20837310.0,11633227.0,15030563.0,8172637.0,6365521.0,21929852.0,8168271.0,8099151.0,4102110.0,4340753.0,4690792.0,6335937.0,4838991.0,5676455.0,3788558.0,3513673.0,3106523.0,2066530.0,2349349.0,1628559.0,3333239.0,6468688.0,3259795.0,2523712.0,3071998.0,1839053.0,2082355.0,1740895.0,1507371.0,1187326.0,2402847.0,2666383.0,3549570.0,2474168.0,1940417.0,1305475.0,1653730.0,3274447.0,2132721.0,1080693.0,1534531.0,817191.0,5932762.0,4772579.0,5637859.0,3701505.0,1897731.0,1573623.0,644082.0,513783.0,523557.0,1370566.0,1541205.0,835543.0,1087641.0,827605.0,725469.0,769170.0,419979.0,1233933.0,1284409.0,870631.0,535901.0,764269.0,737942.0,1304972.0,846075.0,909492.0,419543.0,504041.0,502288.0,729354.0,395351.0,260225.0,684185.0,527400.0,456450.0,299688.0,244044.0,327675.0,392640.0,512374.0,365379.0,383393.0,251463.0,493435.0,483854628.0
파공검제,눈매,포텐,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5036940.0,21625072.0,8156577.0,6305076.0,8684209.0,10788321.0,30055485.0,15675535.0,16014968.0,23507279.0,22697758.0,11364247.0,15457834.0,12094067.0,13369537.0,19164859.0,10430181.0,8007399.0,21146675.0,8421884.0,11273199.0,6575367.0,7168423.0,6324724.0,6324348.0,5660118.0,8251044.0,5594334.0,7802417.0,9746907.0,9284806.0,6178150.0,3646367.0,2977518.0,5033717.0,14379890.0,9132535.0,7913033.0,13875054.0,9886642.0,5948580.0,8453807.0,18571286.0,478006169.0
졸부 집 망나니,백범,포텐,0.0,0.0,0.0,0.0,0.0,211540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23450600.0,69951623.0,35208060.0,16315075.0,39203070.0,29892850.0,22313238.0,25742703.0,18027270.0,18866754.0,18576915.0,11239974.0,9656115.0,13045499.0,12662788.0,8879558.0,3854721.0,1562088.0,829990.0,902980.0,566568.0,1527130.0,2057104.0,4993220.0,7914669.0,5332591.0,2055862.0,1400369.0,2819564.0,2385440.0,3684749.0,3443117.0,3904512.0,2414440.0,1740098.0,1483971.0,2947553.0,2394367.0,2138368.0,1759546.0,1434175.0,2173324.0,1633977.0,1625836.0,1195562.0,4139874.0,1794376.0,2000479.0,1309783.0,1119197.0,1807961.0,1252622.0,2177227.0,1213032.0,1825624.0,1889167.0,1413350.0,1264238.0,1209218.0,694926.0,489871.0,1219191.0,812552.0,931810.0,924547.0,957008.0,1987130.0,1356228.0,2199894.0,888506.0,1062252.0,1451099.0,1068980.0,952007.0,991313.0,865602.0,1007250.0,782221.0,980492.0,658337.0,2052853.0,1343366.0,3179005.0,498692111.0
