=== Genre Library Builder 시작: 2026-02-04T17:15:49.807264 ===
작품 수: 10

[    0.0s] 1980독식재         | 로딩       |   0% |   0블록 | 원고 로드 중...
[    0.0s] 독3              | 로딩       |   0% |   0블록 | 원고 로드 중...
[    0.0s] 마법배             | 로딩       |   0% |   0블록 | 원고 로드 중...
[    0.0s] 복수재벌            | 로딩       |   0% |   0블록 | 원고 로드 중...
[    0.0s] 불행재벌            | 로딩       |   0% |   0블록 | 원고 로드 중...
[    0.0s] 악당 재벌           | 로딩       |   0% |   0블록 | 원고 로드 중...
[    0.0s] 재벌 총수           | 로딩       |   0% |   0블록 | 원고 로드 중...
[    0.0s] 재첫              | 로딩       |   0% |   0블록 | 원고 로드 중...
[    0.0s] 투자백서            | 로딩       |   0% |   0블록 | 원고 로드 중...
[    0.0s] 회몰투             | 로딩       |   0% |   0블록 | 원고 로드 중...
[    1.8s] 재벌 총수           | 로딩       |  10% |   0블록 | 211화 로드됨
[    1.8s] 재벌 총수           | 아크분석     |  15% |   0블록 | 아크 요약 생성 중...
[    1.8s] 1980독식재         | 로딩       |  10% |   0블록 | 216화 로드됨
[    1.8s] 1980독식재         | 아크분석     |  15% |   0블록 | 아크 요약 생성 중...
[    1.9s] 회몰투             | 로딩       |  10% |   0블록 | 305화 로드됨
[    1.9s] 회몰투             | 아크분석     |  15% |   0블록 | 아크 요약 생성 중...
[    1.9s] 불행재벌            | 로딩       |  10% |   0블록 | 316화 로드됨
[    1.9s] 불행재벌            | 아크분석     |  15% |   0블록 | 아크 요약 생성 중...
[    1.9s] 마법배             | 로딩       |  10% |   0블록 | 304화 로드됨
[    1.9s] 마법배             | 아크분석     |  15% |   0블록 | 아크 요약 생성 중...
[    1.9s] 재첫              | 로딩       |  10% |   0블록 | 354화 로드됨
[    1.9s] 악당 재벌           | 로딩       |  10% |   0블록 | 337화 로드됨
[    1.9s] 재첫              | 아크분석     |  15% |   0블록 | 아크 요약 생성 중...
[    1.9s] 악당 재벌           | 아크분석     |  15% |   0블록 | 아크 요약 생성 중...
[    1.9s] 복수재벌            | 로딩       |  10% |   0블록 | 379화 로드됨
[    1.9s] 복수재벌            | 아크분석     |  15% |   0블록 | 아크 요약 생성 중...
[    2.0s] 투자백서            | 로딩       |  10% |   0블록 | 615화 로드됨
[    2.0s] 투자백서            | 아크분석     |  15% |   0블록 | 아크 요약 생성 중...
[    2.0s] 독3              | 로딩       |  10% |   0블록 | 751화 로드됨
